Client,Project,Task,Description,Billable,Start date,Start time,End date,End time,Duration,Tags,Amount ()
S2024,Network Sciences,,Course Enroll - State Estimator,No,2024-03-28,18:49:46,2024-03-28,19:46:42,00:56:56,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - State Estimator,No,2024-03-29,09:06:52,2024-03-29,09:57:14,00:50:22,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - State Estimator,No,2024-03-29,10:48:10,2024-03-29,12:00:17,01:12:07,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - State Estimator,No,2024-03-29,12:29:05,2024-03-29,12:37:43,00:08:38,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - State Estimator,No,2024-03-29,12:43:27,2024-03-29,13:47:10,01:03:43,"Domain: School, Type: Coding",
S2024,Network Sciences,,Course Enroll - State Estimator,No,2024-03-29,13:48:02,2024-03-29,14:31:43,00:43:41,"Domain: School, Type: Coding",
S2024,Network Sciences,,Deliverable 1 Writing,No,2024-03-29,14:33:31,2024-03-29,14:44:08,00:10:37,"Domain: School, Type: Writing",
S2024,Network Sciences,,Deliverable 1 Writing,No,2024-03-29,14:47:07,2024-03-29,15:26:57,00:39:50,"Domain: School, Type: Writing",
S2024,Network Sciences,,Course Enroll - Final Estimates,No,2024-03-29,20:57:18,2024-03-29,22:27:36,01:30:18,"Domain: School, Type: Coding",
S2024,Beyond CPUs,,03/28 Paper Critiques,No,2024-04-01,10:05:22,2024-04-01,10:23:04,00:17:42,"Domain: School, Type: Writing",
S2024,Beyond CPUs,,03/28 Paper Critiques,No,2024-04-01,10:52:36,2024-04-01,11:06:43,00:14:07,"Domain: School, Type: Writing",
S2024,Cryptography,,HW04,No,2024-04-01,11:18:48,2024-04-01,12:02:50,00:44:02,"Domain: School, Type: Practice",
S2024,Cryptography,,HW04,No,2024-04-01,12:05:00,2024-04-01,12:27:25,00:22:25,"Domain: School, Type: Practice",
S2024,Cryptography,,HW04,No,2024-04-01,13:08:36,2024-04-01,13:37:11,00:28:35,"Domain: School, Type: Practice",
S2024,Cryptography,,HW04,No,2024-04-01,18:24:38,2024-04-01,18:41:24,00:16:46,"Domain: School, Type: Practice",
S2024,Cryptography,,HW04,No,2024-04-01,18:43:11,2024-04-01,19:01:21,00:18:10,"Domain: School, Type: Practice",
S2024,Social Media and Misinformation,,Reading: Algorithms,No,2024-04-01,21:01:10,2024-04-01,21:17:57,00:16:47,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Algorithms,No,2024-04-01,21:31:04,2024-04-01,22:02:00,00:30:56,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Algorithms,No,2024-04-02,08:16:56,2024-04-02,08:44:51,00:27:55,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Algorithms,No,2024-04-02,10:15:00,2024-04-02,10:36:39,00:21:39,"Domain: School, Type: Reading",
S2024,Beyond CPUs,,04/02 Paper Critiques,No,2024-04-02,13:17:38,2024-04-02,13:40:00,00:22:22,"Domain: School, Type: Writing",
S2024,Cryptography,,Quiz 09-10,No,2024-04-02,16:47:40,2024-04-02,17:08:07,00:20:27,"Domain: School, Type: Assessment",
S2024,Cryptography,,Quiz 09-10,No,2024-04-02,18:53:32,2024-04-02,19:05:53,00:12:21,"Domain: School, Type: Assessment",
S2024,Network Sciences,,Enroll Project - Deliverable 2 Report,No,2024-04-02,20:58:09,2024-04-02,22:41:21,01:43:12,"Domain: School, Type: Writing",
S2024,Network Sciences,,Enroll Project - Deliverable 2 Report,No,2024-04-02,22:45:08,2024-04-02,22:50:54,00:05:46,"Domain: School, Type: Writing",
S2024,Cryptography,,Paper 2: Detection of Weak Keys in Network Devices,No,2024-04-03,09:00:06,2024-04-03,09:33:47,00:33:41,"Domain: School, Type: Research",
S2024,Cryptography,,Paper 3: Forged SSL Certificates in the Wild,No,2024-04-03,09:42:40,2024-04-03,10:21:56,00:39:16,"Domain: School, Type: Research",
S2024,Cryptography,,Paper 3: Forged SSL Certificates in the Wild,No,2024-04-03,12:09:50,2024-04-03,12:27:37,00:17:47,"Domain: School, Type: Research",
S2024,Cryptography,,Quiz 09-10,No,2024-04-03,12:29:00,2024-04-03,12:40:16,00:11:16,"Domain: School, Type: Assessment",
S2024,Cryptography,,Paper 4: DNSSEC Ecosystem,No,2024-04-03,16:14:41,2024-04-03,16:34:24,00:19:43,"Domain: School, Type: Research",
S2024,Cryptography,,Paper 4: DNSSEC Ecosystem,No,2024-04-03,17:10:14,2024-04-03,17:46:58,00:36:44,"Domain: School, Type: Research",
S2024,Cryptography,,HW05,No,2024-04-08,08:46:42,2024-04-08,09:52:22,01:05:40,"Domain: School, Type: Practice",
S2024,Beyond CPUs,,04/04 Paper Critiques,No,2024-04-08,10:13:24,2024-04-08,10:46:12,00:32:48,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Reading: Business Model,No,2024-04-08,11:16:26,2024-04-08,12:04:50,00:48:24,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Business Model,No,2024-04-08,13:16:33,2024-04-08,13:34:35,00:18:02,"Domain: School, Type: Reading",
S2024,Cryptography,,HW05,No,2024-04-08,18:07:00,2024-04-08,18:17:01,00:10:01,"Domain: School, Type: Practice",
S2024,Cryptography,,Quiz 11-12,No,2024-04-09,14:03:32,2024-04-09,14:19:11,00:15:39,"Domain: School, Type: Assessment",
S2024,Cryptography,,Quiz 11-12,No,2024-04-09,14:37:02,2024-04-09,14:42:06,00:05:04,"Domain: School, Type: Assessment",
,Practicum - My Practicum,,Practicum Proposal,No,2024-04-09,14:51:35,2024-04-09,15:49:42,00:58:07,"Domain: School, Type: Writing",
,Practicum - My Practicum,,Practicum Proposal,No,2024-04-09,16:10:28,2024-04-09,16:20:14,00:09:46,"Domain: School, Type: Writing",
,Practicum - My Practicum,,Practicum Emails,No,2024-04-09,16:20:16,2024-04-09,16:23:40,00:03:24,"Domain: School, Type: Writing",
S2024,Cryptography,,Quiz 11-12,No,2024-04-09,16:36:55,2024-04-09,16:46:11,00:09:16,"Domain: School, Type: Assessment",
S2024,Beyond CPUs,,04/09 Paper Critiques,No,2024-04-10,09:20:00,2024-04-10,09:31:14,00:11:14,"Domain: School, Type: Writing",
S2024,Beyond CPUs,,Project Plan,No,2024-04-10,09:32:38,2024-04-10,09:39:35,00:06:57,"Domain: School, Type: Research",
S2024,Network Sciences,,Enroll Project - Deliverable 2 Report,No,2024-04-10,09:40:47,2024-04-10,10:04:39,00:23:52,"Domain: School, Type: Writing",
S2024,Network Sciences,,Enroll Project - Deliverable 2 Report,No,2024-04-10,10:17:23,2024-04-10,10:38:06,00:20:43,"Domain: School, Type: Writing",
S2024,Beyond CPUs,,Project Plan,No,2024-04-10,10:39:11,2024-04-10,10:43:24,00:04:13,"Domain: School, Type: Research",
S2024,Social Media and Misinformation,,Reflection 4,No,2024-04-10,10:44:37,2024-04-10,12:08:48,01:24:11,"Domain: School, Type: Writing",
S2024,Cryptography,,Project Meeting,No,2024-04-10,14:55:00,2024-04-10,15:20:00,00:25:00,"Domain: School, Type: Meeting",
S2024,Beyond CPUs,,Project Plan,No,2024-04-10,15:32:16,2024-04-10,15:38:00,00:05:44,"Domain: School, Type: Research",
S2024,Beyond CPUs,,04/11 Paper Critiques,No,2024-04-11,13:12:38,2024-04-11,13:43:43,00:31:05,"Domain: School, Type: Writing",
S2024,Network Sciences,,Enroll Project - Deliverable 2 Report,No,2024-04-11,13:51:10,2024-04-11,14:07:27,00:16:17,"Domain: School, Type: Writing",
,Practicum - My Practicum,,Practicum Office Hours,No,2024-04-11,14:30:00,2024-04-11,14:45:00,00:15:00,"Domain: School, Type: Meeting",
,Practicum - My Practicum,,Practicum Proposal,No,2024-04-11,15:20:00,2024-04-11,15:40:00,00:20:00,"Domain: School, Type: Writing",
,Practicum - My Practicum,,Practicum Emails,No,2024-04-11,15:38:27,2024-04-11,15:39:58,00:01:31,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Reflection 4,No,2024-04-11,15:40:04,2024-04-11,15:40:26,00:00:22,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Reflection 4,No,2024-04-11,15:42:05,2024-04-11,15:50:25,00:08:20,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Reflection 4,No,2024-04-11,15:51:00,2024-04-11,16:16:05,00:25:05,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Reflection 4,No,2024-04-12,16:56:56,2024-04-12,17:17:11,00:20:15,"Domain: School, Type: Writing",
S2024,Beyond CPUs,,Project Testing,No,2024-04-13,10:39:47,2024-04-13,10:52:38,00:12:51,"Domain: School, Type: Research",
S2024,Beyond CPUs,,Project Testing,No,2024-04-13,11:42:10,2024-04-13,11:59:44,00:17:34,"Domain: School, Type: Research",
S2024,Network Sciences,,Enroll Project - Deliverable 2 Report,No,2024-04-13,12:00:00,2024-04-13,12:13:09,00:13:09,"Domain: School, Type: Writing",
S2024,Beyond CPUs,,Project Testing,No,2024-04-14,18:26:04,2024-04-14,18:27:58,00:01:54,"Domain: School, Type: Research",
S2024,Beyond CPUs,,Project Testing,No,2024-04-14,18:32:10,2024-04-14,18:43:39,00:11:29,"Domain: School, Type: Research",
S2024,Social Media and Misinformation,,Reflection 4,No,2024-04-14,20:13:35,2024-04-14,21:13:25,00:59:50,"Domain: School, Type: Writing",
S2024,Cryptography,,Lab 2,No,2024-04-15,10:09:21,2024-04-15,11:16:35,01:07:14,"Domain: School, Type: Practice",
S2024,Cryptography,,Lab 2,No,2024-04-15,12:30:00,2024-04-15,13:00:00,00:30:00,"Domain: School, Type: Practice",
S2024,Cryptography,,Lab 2,No,2024-04-15,14:55:13,2024-04-15,15:36:08,00:40:55,"Domain: School, Type: Practice",
S2024,Cryptography,,Lab 2,No,2024-04-15,15:40:01,2024-04-15,15:52:00,00:11:59,"Domain: School, Type: Practice",
S2024,Network Sciences,,Enroll Project - Deliverable 2 Report,No,2024-04-15,16:29:28,2024-04-15,16:37:22,00:07:54,"Domain: School, Type: Writing",
S2024,Network Sciences,,Enroll Project - Deliverable 2 Report,No,2024-04-15,16:37:35,2024-04-15,16:44:53,00:07:18,"Domain: School, Type: Writing",
S2024,Network Sciences,,Enroll Project - Deliverable 2 Report,No,2024-04-15,20:04:29,2024-04-15,20:04:30,00:00:01,"Domain: School, Type: Writing",
S2024,Cryptography,,Lab 2,No,2024-04-15,20:04:38,2024-04-15,20:09:54,00:05:16,"Domain: School, Type: Practice",
S2024,Network Sciences,,Enroll Project - Deliverable 2 Report,No,2024-04-16,08:46:21,2024-04-16,09:07:25,00:21:04,"Domain: School, Type: Writing",
S2024,Cryptography,,Lab 2,No,2024-04-16,16:20:45,2024-04-16,16:34:39,00:13:54,"Domain: School, Type: Practice",
S2024,Cryptography,,Quiz 13-14,No,2024-04-16,16:34:53,2024-04-16,16:57:20,00:22:27,"Domain: School, Type: Assessment",
S2024,Network Sciences,,Enroll Project - Deliverable 2 Report,No,2024-04-16,16:59:27,2024-04-16,17:17:27,00:18:00,"Domain: School, Type: Writing",
S2024,Cryptography,,Quiz 13-14,No,2024-04-16,17:17:55,2024-04-16,17:36:57,00:19:02,"Domain: School, Type: Assessment",
S2024,Network Sciences,,Enroll Project - Deliverable 2 Report,No,2024-04-16,17:45:00,2024-04-16,17:59:26,00:14:26,"Domain: School, Type: Writing",
S2024,Cryptography,,Paper Presentation,No,2024-04-16,18:29:22,2024-04-16,18:29:27,00:00:05,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Reading: Infrastructure,No,2024-04-16,18:29:40,2024-04-16,19:26:55,00:57:15,"Domain: School, Type: Reading",
S2024,Network Sciences,,Enroll Project - Deliverable 2 Report,No,2024-04-16,21:00:00,2024-04-16,22:04:14,01:04:14,"Domain: School, Type: Writing",
S2024,Beyond CPUs,,Project Presentation,No,2024-04-17,08:16:37,2024-04-17,08:50:12,00:33:35,"Domain: School, Type: Research",
S2024,Cryptography,,Paper Presentation,No,2024-04-17,09:27:43,2024-04-17,09:38:04,00:10:21,"Domain: School, Type: Writing",
S2024,Cryptography,,Paper 5: Spoofing PDF Signatures,No,2024-04-17,09:40:01,2024-04-17,10:24:42,00:44:41,"Domain: School, Type: Research",
S2024,Cryptography,,Paper 6: Crytographic API Usability,No,2024-04-17,10:40:57,2024-04-17,11:20:33,00:39:36,"Domain: School, Type: Research",
S2024,Cryptography,,Paper Presentation,No,2024-04-17,12:46:47,2024-04-17,12:47:08,00:00:21,"Domain: School, Type: Writing",
S2024,Cryptography,,Paper Presentation,No,2024-04-17,12:56:13,2024-04-17,13:19:32,00:23:19,"Domain: School, Type: Writing",
S2024,Cryptography,,Paper Presentation,No,2024-04-17,16:09:59,2024-04-17,16:31:32,00:21:33,"Domain: School, Type: Writing",
S2024,Beyond CPUs,,Project Presentation,No,2024-04-17,16:32:24,2024-04-17,16:46:48,00:14:24,"Domain: School, Type: Research",
S2024,Beyond CPUs,,Project Presentation,No,2024-04-18,08:05:00,2024-04-18,08:28:52,00:23:52,"Domain: School, Type: Research",
S2024,Beyond CPUs,,Project Presentation,No,2024-04-18,08:37:44,2024-04-18,08:39:30,00:01:46,"Domain: School, Type: Research",
,Practicum - My Practicum,,Substack Setup,No,2024-04-18,21:52:58,2024-04-18,22:10:50,00:17:52,"Domain: School, Type: Implementing",
S2024,Cryptography,,Course Review,No,2024-04-21,18:51:18,2024-04-21,19:24:24,00:33:06,"Domain: School, Type: Writing",
S2024,Beyond CPUs,,Course Review,No,2024-04-21,19:24:33,2024-04-21,19:47:20,00:22:47,"Domain: School, Type: Writing",
S2024,Network Sciences,,Course Review,No,2024-04-21,19:47:33,2024-04-21,20:07:28,00:19:55,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Course Review,No,2024-04-21,20:07:41,2024-04-21,20:32:06,00:24:25,"Domain: School, Type: Writing",
S2024,Cryptography,,Paper Presentation,No,2024-04-22,08:35:00,2024-04-22,08:41:58,00:06:58,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,KOSA Reading,No,2024-04-22,12:50:50,2024-04-22,13:09:26,00:18:36,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Hope!,No,2024-04-22,13:23:53,2024-04-22,13:27:14,00:03:21,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Hope!,No,2024-04-22,14:53:01,2024-04-22,15:35:16,00:42:15,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Hope!,No,2024-04-22,15:47:25,2024-04-22,15:55:00,00:07:35,"Domain: School, Type: Reading",
S2024,Cryptography,,HW06,No,2024-04-22,18:38:29,2024-04-22,20:13:23,01:34:54,"Domain: School, Type: Practice",
S2024,Cryptography,,HW06,No,2024-04-22,20:15:46,2024-04-22,20:44:17,00:28:31,"Domain: School, Type: Practice",
S2024,Cryptography,,Paper Presentation,No,2024-04-22,21:35:30,2024-04-22,21:46:59,00:11:29,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,KOSA Reading,No,2024-04-22,21:48:38,2024-04-22,21:49:13,00:00:35,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Hope!,No,2024-04-23,09:32:42,2024-04-23,10:14:34,00:41:52,"Domain: School, Type: Reading",
S2024,Network Sciences,,PA02: Random Graphs,No,2024-04-23,11:09:08,2024-04-23,11:33:11,00:24:03,"Domain: School, Type: Coding",
S2024,Cryptography,,Paper Presentation,No,2024-04-23,16:28:12,2024-04-23,17:24:33,00:56:21,"Domain: School, Type: Writing",
S2024,Cryptography,,Quiz 14-15,No,2024-04-23,19:07:36,2024-04-23,19:41:01,00:33:25,"Domain: School, Type: Assessment",
S2024,Network Sciences,,PA02: Random Graphs,No,2024-04-23,19:45:00,2024-04-23,20:30:26,00:45:26,"Domain: School, Type: Coding",
S2024,Network Sciences,,PA02: Random Graphs,No,2024-04-23,20:31:00,2024-04-23,20:36:13,00:05:13,"Domain: School, Type: Coding",
S2024,Cryptography,,HW06,No,2024-04-23,20:36:25,2024-04-23,21:13:03,00:36:38,"Domain: School, Type: Practice",
S2024,Network Sciences,,PA02: Random Graphs,No,2024-04-24,09:14:04,2024-04-24,09:35:50,00:21:46,"Domain: School, Type: Coding",
S2024,Network Sciences,,HW3,No,2024-04-24,09:35:59,2024-04-24,10:33:38,00:57:39,"Domain: School, Type: Practice",
S2024,Network Sciences,,HW3,No,2024-04-24,10:51:22,2024-04-24,11:48:32,00:57:10,"Domain: School, Type: Practice",
S2024,Network Sciences,,HW3,No,2024-04-24,12:24:16,2024-04-24,13:32:38,01:08:22,"Domain: School, Type: Practice",
S2024,Network Sciences,,HW3,No,2024-04-24,14:57:52,2024-04-24,15:42:44,00:44:52,"Domain: School, Type: Practice",
,Practicum - My Practicum,,Before: Database Design,No,2024-04-25,14:30:18,2024-04-25,15:06:07,00:35:49,"Domain: School, Type: Implementing",
,Practicum - My Practicum,,Before: Spotify Endpoint,No,2024-04-25,15:06:22,2024-04-25,15:36:39,00:30:17,"Domain: School, Type: Coding",
S2024,Social Media and Misinformation,,Reflection 5,No,2024-04-26,10:47:56,2024-04-26,10:52:25,00:04:29,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Reflection 5,No,2024-04-26,10:53:53,2024-04-26,11:13:36,00:19:43,"Domain: School, Type: Writing",
S2024,Network Sciences,,HW3,No,2024-04-29,13:07:27,2024-04-29,13:32:37,00:25:10,"Domain: School, Type: Practice",
S2024,Social Media and Misinformation,,Reading: What Hath We Wrought?,No,2024-04-29,15:20:11,2024-04-29,15:26:10,00:05:59,"Domain: School, Type: Reading",
S2024,Network Sciences,,Project Reflection,No,2024-04-29,16:22:15,2024-04-29,16:32:31,00:10:16,"Domain: School, Type: Writing",
S2024,Network Sciences,,HW3,No,2024-04-29,19:04:18,2024-04-29,19:09:40,00:05:22,"Domain: School, Type: Practice",
S2024,Cryptography,,Course Project: Report,No,2024-04-29,19:09:59,2024-04-29,20:18:03,01:08:04,"Domain: School, Type: Writing",
S2024,Cryptography,,Course Project: Report,No,2024-04-29,20:23:13,2024-04-29,20:58:08,00:34:55,"Domain: School, Type: Writing",
S2024,Cryptography,,Course Project: Presentation,No,2024-04-29,21:06:19,2024-04-29,21:27:36,00:21:17,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Reading: What Hath We Wrought?,No,2024-04-30,08:44:53,2024-04-30,09:05:51,00:20:58,"Domain: School, Type: Reading",
S2024,Beyond CPUs,,Course Project: Report,No,2024-04-30,09:45:00,2024-04-30,10:33:00,00:48:00,"Domain: School, Type: Writing",
S2024,Beyond CPUs,,Course Project: Report,No,2024-04-30,13:32:47,2024-04-30,14:25:13,00:52:26,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Reading: What Hath We Wrought?,No,2024-04-30,14:31:30,2024-04-30,15:12:58,00:41:28,"Domain: School, Type: Reading",
,Practicum - My Practicum,,Before: Spotify Endpoint,No,2024-04-30,15:15:48,2024-04-30,16:32:36,01:16:48,"Domain: School, Type: Coding",
S2024,Cryptography,,Course Project: Report,No,2024-04-30,18:00:25,2024-04-30,19:09:25,01:09:00,"Domain: School, Type: Writing",
S2024,Cryptography,,Course Project: Report,No,2024-04-30,19:14:05,2024-04-30,19:27:00,00:12:55,"Domain: School, Type: Writing",
S2024,Cryptography,,Course Project: Report,No,2024-04-30,19:27:56,2024-04-30,19:34:56,00:07:00,"Domain: School, Type: Writing",
S2024,Cryptography,,Course Project: Report,No,2024-04-30,19:36:09,2024-04-30,19:41:42,00:05:33,"Domain: School, Type: Writing",
S2024,Beyond CPUs,,Course Project: Report,No,2024-04-30,20:47:01,2024-04-30,21:14:43,00:27:42,"Domain: School, Type: Writing",
,Practicum - My Practicum,,Before: Spotify Endpoint,No,2024-04-30,21:15:00,2024-04-30,22:24:45,01:09:45,"Domain: School, Type: Coding",
S2024,Cryptography,,Course Project: Report,No,2024-05-01,09:22:15,2024-05-01,09:57:21,00:35:06,"Domain: School, Type: Writing",
S2024,Beyond CPUs,,Course Project: Report,No,2024-05-01,10:34:07,2024-05-01,10:34:17,00:00:10,"Domain: School, Type: Writing",
S2024,Cryptography,,Course Project: Report,No,2024-05-01,10:34:19,2024-05-01,10:45:38,00:11:19,"Domain: School, Type: Writing",
S2024,Beyond CPUs,,Course Project: Report,No,2024-05-01,10:45:41,2024-05-01,10:47:27,00:01:46,"Domain: School, Type: Writing",
S2024,Cryptography,,Course Project: Report,No,2024-05-01,10:47:29,2024-05-01,10:48:49,00:01:20,"Domain: School, Type: Writing",
S2024,Beyond CPUs,,Course Project: Report,No,2024-05-01,10:53:02,2024-05-01,11:01:39,00:08:37,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Reflection 5,No,2024-05-01,11:23:25,2024-05-01,12:05:20,00:41:55,"Domain: School, Type: Writing",
S2024,Network Sciences,,HW3,No,2024-05-01,15:30:56,2024-05-01,15:32:21,00:01:25,"Domain: School, Type: Practice",
S2024,Network Sciences,,HW3,No,2024-05-01,15:33:34,2024-05-01,15:52:29,00:18:55,"Domain: School, Type: Practice",
S2024,Beyond CPUs,,Course Project: Report,No,2024-05-01,15:59:08,2024-05-01,16:18:43,00:19:35,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Reflection 5,No,2024-05-01,16:27:04,2024-05-01,16:57:48,00:30:44,"Domain: School, Type: Writing",
S2024,Cryptography,,Course Project: Report,No,2024-05-01,21:55:58,2024-05-01,22:31:31,00:35:33,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Reflection 5,No,2024-05-02,15:08:51,2024-05-02,16:02:11,00:53:20,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Reflection 5,No,2024-05-03,08:48:10,2024-05-03,09:07:57,00:19:47,"Domain: School, Type: Writing",
,Practicum - My Practicum,,Before: Database,No,2024-05-03,09:10:52,2024-05-03,10:07:36,00:56:44,"Domain: School, Type: Reading",
S2024,Cryptography,,Finals Study,No,2024-05-03,16:20:33,2024-05-03,17:32:40,01:12:07,"Domain: School, Type: Practice",
S2024,Cryptography,,Finals Study,No,2024-05-03,17:51:51,2024-05-03,18:08:05,00:16:14,"Domain: School, Type: Practice",
S2024,Cryptography,,Finals Study,No,2024-05-03,20:47:14,2024-05-03,21:12:44,00:25:30,"Domain: School, Type: Practice",
S2024,Cryptography,,Finals Study,No,2024-05-03,21:18:27,2024-05-03,22:01:02,00:42:35,"Domain: School, Type: Practice",
S2024,Cryptography,,Finals Study,No,2024-05-04,09:21:49,2024-05-04,10:10:59,00:49:10,"Domain: School, Type: Practice",
S2024,Cryptography,,Finals Study,No,2024-05-04,10:37:18,2024-05-04,11:00:22,00:23:04,"Domain: School, Type: Practice",
S2024,Cryptography,,Finals Study,No,2024-05-04,11:00:24,2024-05-04,11:05:43,00:05:19,"Domain: School, Type: Practice",
S2024,Cryptography,,Finals Study,No,2024-05-04,11:32:18,2024-05-04,11:39:34,00:07:16,"Domain: School, Type: Practice",
S2024,Cryptography,,Finals Study,No,2024-05-04,12:13:52,2024-05-04,12:20:24,00:06:32,"Domain: School, Type: Practice",
S2024,Social Media and Misinformation,,Platform Overview,No,2024-05-06,15:00:24,2024-05-06,15:09:28,00:09:04,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Research Narrative,No,2024-05-06,15:09:43,2024-05-06,15:10:19,00:00:36,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Research Narrative,No,2024-05-06,15:10:23,2024-05-06,16:11:33,01:01:10,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Research Narrative,No,2024-05-06,18:53:50,2024-05-06,20:42:13,01:48:23,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Research Narrative,No,2024-05-06,20:48:24,2024-05-06,21:18:02,00:29:38,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Platform Overview,No,2024-05-06,21:18:04,2024-05-06,21:45:26,00:27:22,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Research Narrative,No,2024-05-07,08:51:55,2024-05-07,10:31:45,01:39:50,"Domain: School, Type: Writing",
S2024,Network Sciences,,Final Study,No,2024-05-07,13:33:11,2024-05-07,14:09:57,00:36:46,"Domain: School, Type: Practice",
S2024,Network Sciences,,Final Study,No,2024-05-07,16:39:57,2024-05-07,16:42:25,00:02:28,"Domain: School, Type: Practice",
